ftitle,fsubtitle,btitle,bsubtitle,audio
先祖,(せんぞ),ancestor,,[sound:先祖.wav]
ancestor,,先祖,(せんぞ),[sound:先祖.wav]
先端,(せんたん),"pointed end,tip,fine point",,[sound:先端.wav]
"pointed end,tip,fine point",,先端,(せんたん),[sound:先端.wav]
センチ,,"centimeter,centi-,10^-2",,[sound:センチ.wav]
"centimeter,centi-,10^-2",,センチ,,[sound:センチ.wav]
宣伝,(せんでん),"propaganda,publicity",,[sound:宣伝.wav]
"propaganda,publicity",,宣伝,(せんでん),[sound:宣伝.wav]
先頭,(せんとう),"head,lead,vanguard,first",,[sound:先頭.wav]
"head,lead,vanguard,first",,先頭,(せんとう),[sound:先頭.wav]
全般,(ぜんぱん),"(the) whole,universal,wholly,general",,[sound:全般.wav]
"(the) whole,universal,wholly,general",,全般,(ぜんぱん),[sound:全般.wav]
扇風機,(せんぷうき),electric fan,,[sound:扇風機.wav]
electric fan,,扇風機,(せんぷうき),[sound:扇風機.wav]
線路,(せんろ),"line,track,roadbed",,[sound:線路.wav]
"line,track,roadbed",,線路,(せんろ),[sound:線路.wav]
相違,(そうい),"difference,discrepancy,variation",,[sound:相違.wav]
"difference,discrepancy,variation",,相違,(そうい),[sound:相違.wav]
そういえば,,which reminds me ..,,[sound:そういえば.wav]
which reminds me ..,,そういえば,,[sound:そういえば.wav]
雑巾,(ぞうきん),"house-cloth,dust cloth",,[sound:雑巾.wav]
"house-cloth,dust cloth",,雑巾,(ぞうきん),[sound:雑巾.wav]
増減,(ぞうげん),"increase and decrease,fluctuation",,[sound:増減.wav]
"increase and decrease,fluctuation",,増減,(ぞうげん),[sound:増減.wav]
倉庫,(そうこ),"storehouse,warehouse,godown",,[sound:倉庫.wav]
"storehouse,warehouse,godown",,倉庫,(そうこ),[sound:倉庫.wav]
相互,(そうご),"mutual,reciprocal",,[sound:相互.wav]
"mutual,reciprocal",,相互,(そうご),[sound:相互.wav]
創作,(そうさく),"production,literary creation,work",,[sound:創作.wav]
"production,literary creation,work",,創作,(そうさく),[sound:創作.wav]
葬式,(そうしき),funeral,,[sound:葬式.wav]
funeral,,葬式,(そうしき),[sound:葬式.wav]
造船,(ぞうせん),shipbuilding,,[sound:造船.wav]
shipbuilding,,造船,(ぞうせん),[sound:造船.wav]
騒々しい,(そうぞうしい),"noisy,boisterous",,[sound:騒々しい.wav]
"noisy,boisterous",,騒々しい,(そうぞうしい),[sound:騒々しい.wav]
増大,(ぞうだい),enlargement,,[sound:増大.wav]
enlargement,,増大,(ぞうだい),[sound:増大.wav]
そうっと,,,,[sound:そうっと.wav]
,,そうっと,,[sound:そうっと.wav]
送別,(そうべつ),"farewell,send-off",,[sound:送別.wav]
"farewell,send-off",,送別,(そうべつ),[sound:送別.wav]
草履,(ぞうり),"zoori (Japanese footwear),sandals",,[sound:草履.wav]
"zoori (Japanese footwear),sandals",,草履,(ぞうり),[sound:草履.wav]
総理大臣,(そうりだいじん),Prime Minister,,[sound:総理大臣.wav]
Prime Minister,,総理大臣,(そうりだいじん),[sound:総理大臣.wav]
送料,(そうりょう),"postage,carriage",,[sound:送料.wav]
"postage,carriage",,送料,(そうりょう),[sound:送料.wav]
属する,(ぞくする),"to belong to,to come under,to be affiliated with,to be subject to",,[sound:属する.wav]
"to belong to,to come under,to be affiliated with,to be subject to",,属する,(ぞくする),[sound:属する.wav]
続々,(ぞくぞく),"successively,one after another",,[sound:続々.wav]
"successively,one after another",,続々,(ぞくぞく),[sound:続々.wav]
速達,(そくたつ),"express,special delivery",,[sound:速達.wav]
"express,special delivery",,速達,(そくたつ),[sound:速達.wav]
測定,(そくてい),measurement,,[sound:測定.wav]
measurement,,測定,(そくてい),[sound:測定.wav]
測量,(そくりょう),"measurement,surveying",,[sound:測量.wav]
"measurement,surveying",,測量,(そくりょう),[sound:測量.wav]
速力,(そくりょく),speed,,[sound:速力.wav]
speed,,速力,(そくりょく),[sound:速力.wav]
素質,(そしつ),"character,qualities,genius",,[sound:素質.wav]
"character,qualities,genius",,素質,(そしつ),[sound:素質.wav]
祖先,(そせん),ancestor,,[sound:祖先.wav]
ancestor,,祖先,(そせん),[sound:祖先.wav]
そそっかしい,,"careless,thoughtless",,[sound:そそっかしい.wav]
"careless,thoughtless",,そそっかしい,,[sound:そそっかしい.wav]
卒直,(そっちょく),"frankness,candour,openheartedness",,[sound:卒直.wav]
"frankness,candour,openheartedness",,卒直,(そっちょく),[sound:卒直.wav]
具える,(そなえる),to be furnished with,,[sound:具える.wav]
to be furnished with,,具える,(そなえる),[sound:具える.wav]
そのうえ,,"in addition,furthermore",,[sound:そのうえ.wav]
"in addition,furthermore",,そのうえ,,[sound:そのうえ.wav]
そのころ,,,,[sound:そのころ.wav]
,,そのころ,,[sound:そのころ.wav]
そのため,,"hence,for that reason",,[sound:そのため.wav]
"hence,for that reason",,そのため,,[sound:そのため.wav]
そのほか,,otherwise,,[sound:そのほか.wav]
otherwise,,そのほか,,[sound:そのほか.wav]
蕎麦,(そば),soba (buckwheat noodles),,[sound:蕎麦.wav]
soba (buckwheat noodles),,蕎麦,(そば),[sound:蕎麦.wav]
剃る,(そる),to shave,,[sound:剃る.wav]
to shave,,剃る,(そる),[sound:剃る.wav]
それなのに,,,,[sound:それなのに.wav]
,,それなのに,,[sound:それなのに.wav]
逸れる,(それる),"to stray (turn) from subject,to get lost,to go astray",,[sound:逸れる.wav]
"to stray (turn) from subject,to get lost,to go astray",,逸れる,(それる),[sound:逸れる.wav]
揃う,(そろう),"to become complete,to be equal,to be all present,to gather",,[sound:揃う.wav]
"to become complete,to be equal,to be all present,to gather",,揃う,(そろう),[sound:揃う.wav]
揃える,(そろえる),"to put things in order,to arrange,to make uniform,to get something ready",,[sound:揃える.wav]
"to put things in order,to arrange,to make uniform,to get something ready",,揃える,(そろえる),[sound:揃える.wav]
算盤,(そろばん),abacus,,[sound:算盤.wav]
abacus,,算盤,(そろばん),[sound:算盤.wav]
存じる,(ぞんじる),(hum) to know,,[sound:存じる.wav]
(hum) to know,,存じる,(ぞんじる),[sound:存じる.wav]
存ずる,(ぞんずる),,,[sound:存ずる.wav]
,,存ずる,(ぞんずる),[sound:存ずる.wav]
損得,(そんとく),"loss and gain,advantage and disadvantage",,[sound:損得.wav]
"loss and gain,advantage and disadvantage",,損得,(そんとく),[sound:損得.wav]
田ぼ,(たんぼ),"paddy field,farm",,[sound:田ぼ.wav]
"paddy field,farm",,田ぼ,(たんぼ),[sound:田ぼ.wav]
第一,(だいいち),"first,foremost,# 1",,[sound:第一.wav]
"first,foremost,# 1",,第一,(だいいち),[sound:第一.wav]
大学院,(だいがくいん),graduate school,,[sound:大学院.wav]
graduate school,,大学院,(だいがくいん),[sound:大学院.wav]
大工,(だいく),carpenter,,[sound:大工.wav]
carpenter,,大工,(だいく),[sound:大工.wav]
体系,(たいけい),"system,organization",,[sound:体系.wav]
"system,organization",,体系,(たいけい),[sound:体系.wav]
太鼓,(たいこ),"drum,tambourine",,[sound:太鼓.wav]
"drum,tambourine",,太鼓,(たいこ),[sound:太鼓.wav]
対策,(たいさく),"counter-plan,counter-measure",,[sound:対策.wav]
"counter-plan,counter-measure",,対策,(たいさく),[sound:対策.wav]
大して,(たいして),"(not so) much,(not) very",,[sound:大して.wav]
"(not so) much,(not) very",,大して,(たいして),[sound:大して.wav]
対照,(たいしょう),"contrast,antithesis,comparison",,[sound:対照.wav]
"contrast,antithesis,comparison",,対照,(たいしょう),[sound:対照.wav]
大小,(だいしょう),size,,[sound:大小.wav]
size,,大小,(だいしょう),[sound:大小.wav]
体制,(たいせい),"order,system,structure,set-up,organization",,[sound:体制.wav]
"order,system,structure,set-up,organization",,体制,(たいせい),[sound:体制.wav]
体積,(たいせき),"capacity,volume",,[sound:体積.wav]
"capacity,volume",,体積,(たいせき),[sound:体積.wav]
大層,(たいそう),"very much,exaggerated,very fine",,[sound:大層.wav]
"very much,exaggerated,very fine",,大層,(たいそう),[sound:大層.wav]
体操,(たいそう),"gymnastics,physical exercises,calisthenics",,[sound:体操.wav]
"gymnastics,physical exercises,calisthenics",,体操,(たいそう),[sound:体操.wav]
大分,(だいぶん),"considerably,greatly,a lot",,[sound:大分.wav]
"considerably,greatly,a lot",,大分,(だいぶん),[sound:大分.wav]
大木,(たいぼく),large tree,,[sound:大木.wav]
large tree,,大木,(たいぼく),[sound:大木.wav]
題名,(だいめい),title,,[sound:題名.wav]
title,,題名,(だいめい),[sound:題名.wav]
代名詞,(だいめいし),pronoun,,[sound:代名詞.wav]
pronoun,,代名詞,(だいめいし),[sound:代名詞.wav]
タイア,,"tire,tyre",,[sound:タイア.wav]
"tire,tyre",,タイア,,[sound:タイア.wav]
ダイヤグラム,,diagram,,[sound:ダイヤグラム.wav]
diagram,,ダイヤグラム,,[sound:ダイヤグラム.wav]
ダイヤモンド,,diamond,,[sound:ダイヤモンド.wav]
diamond,,ダイヤモンド,,[sound:ダイヤモンド.wav]
ダイヤル,,dial,,[sound:ダイヤル.wav]
dial,,ダイヤル,,[sound:ダイヤル.wav]
対立,(たいりつ),"confrontation,opposition,antagonism",,[sound:対立.wav]
"confrontation,opposition,antagonism",,対立,(たいりつ),[sound:対立.wav]
田植え,(たうえ),rice planting,,[sound:田植え.wav]
rice planting,,田植え,(たうえ),[sound:田植え.wav]
絶えず,(たえず),constantly,,[sound:絶えず.wav]
constantly,,絶えず,(たえず),[sound:絶えず.wav]
楕円,(だえん),ellipse,,[sound:楕円.wav]
ellipse,,楕円,(だえん),[sound:楕円.wav]
高める,(たかめる),"to raise,to lift,to boost",,[sound:高める.wav]
"to raise,to lift,to boost",,高める,(たかめる),[sound:高める.wav]
耕す,(たがやす),"to till,to plow,to cultivate",,[sound:耕す.wav]
"to till,to plow,to cultivate",,耕す,(たがやす),[sound:耕す.wav]
滝,(たき),waterfall,,[sound:滝.wav]
waterfall,,滝,(たき),[sound:滝.wav]
炊く,(たく),"to boil,to cook",,[sound:炊く.wav]
"to boil,to cook",,炊く,(たく),[sound:炊く.wav]
焚く,(たく),"to burn,to kindle,to build a fire",,[sound:焚く.wav]
"to burn,to kindle,to build a fire",,焚く,(たく),[sound:焚く.wav]
蓄える,(たくわえる),"to store,to lay in stock",,[sound:蓄える.wav]
"to store,to lay in stock",,蓄える,(たくわえる),[sound:蓄える.wav]
竹,(たけ),"bamboo,middle (of a three-tier ranking system)",,[sound:竹.wav]
"bamboo,middle (of a three-tier ranking system)",,竹,(たけ),[sound:竹.wav]
助かる,(たすかる),"to be saved,to be rescued,to survive,to be helpful",,[sound:助かる.wav]
"to be saved,to be rescued,to survive,to be helpful",,助かる,(たすかる),[sound:助かる.wav]
但し,(ただし),"but,however,provided that",,[sound:但し.wav]
"but,however,provided that",,但し,(ただし),[sound:但し.wav]
畳む,(たたむ),to fold (clothes),,[sound:畳む.wav]
to fold (clothes),,畳む,(たたむ),[sound:畳む.wav]
立ち止まる,(たちどまる),"to stop,to halt,to stand still",,[sound:立ち止まる.wav]
"to stop,to halt,to stand still",,立ち止まる,(たちどまる),[sound:立ち止まる.wav]
たちまち,,"at once,in a moment,suddenly,all at once",,[sound:たちまち.wav]
"at once,in a moment,suddenly,all at once",,たちまち,,[sound:たちまち.wav]
建つ,(たつ),"to erect,to be erected,to be built",,[sound:建つ.wav]
"to erect,to be erected,to be built",,建つ,(たつ),[sound:建つ.wav]
発つ,(たつ),"to depart (on a plane, train, etc.)",,[sound:発つ.wav]
"to depart (on a plane, train, etc.)",,発つ,(たつ),[sound:発つ.wav]
脱線,(だっせん),"derailment,digression",,[sound:脱線.wav]
"derailment,digression",,脱線,(だっせん),[sound:脱線.wav]
妥当,(だとう),"valid,proper,right,appropriate",,[sound:妥当.wav]
"valid,proper,right,appropriate",,妥当,(だとう),[sound:妥当.wav]
例える,(たとえる),"to compare,to liken,to speak figuratively,to illustrate,to use a simile",,[sound:例える.wav]
"to compare,to liken,to speak figuratively,to illustrate,to use a simile",,例える,(たとえる),[sound:例える.wav]
頼もしい,(たのもしい),"reliable,trustworthy,hopeful,promising",,[sound:頼もしい.wav]
"reliable,trustworthy,hopeful,promising",,頼もしい,(たのもしい),[sound:頼もしい.wav]
足袋,(たび),"tabi,Japanese socks (with split toe)",,[sound:足袋.wav]
"tabi,Japanese socks (with split toe)",,足袋,(たび),[sound:足袋.wav]
ダブル,,double,,[sound:ダブル.wav]
double,,ダブル,,[sound:ダブル.wav]
だます,,"to trick,to cheat,to deceive",,[sound:だます.wav]
"to trick,to cheat,to deceive",,だます,,[sound:だます.wav]
溜まる,(たまる),"to collect,to gather,to save",,[sound:溜まる.wav]
"to collect,to gather,to save",,溜まる,(たまる),[sound:溜まる.wav]
ダム,,dumb,,[sound:ダム.wav]
dumb,,ダム,,[sound:ダム.wav]
溜息,(ためいき),a sigh,,[sound:溜息.wav]
a sigh,,溜息,(ためいき),[sound:溜息.wav]
ためらう,,to hesitate,,[sound:ためらう.wav]
to hesitate,,ためらう,,[sound:ためらう.wav]
溜める,(ためる),"to amass,to accumulate",,[sound:溜める.wav]
"to amass,to accumulate",,溜める,(ためる),[sound:溜める.wav]
だらしない,,"slovenly,loose,a slut",,[sound:だらしない.wav]
"slovenly,loose,a slut",,だらしない,,[sound:だらしない.wav]
足る,(たる),"to be sufficient,to be enough",,[sound:足る.wav]
"to be sufficient,to be enough",,足る,(たる),[sound:足る.wav]
段階,(だんかい),"gradation,grade,stage",,[sound:段階.wav]
"gradation,grade,stage",,段階,(だんかい),[sound:段階.wav]
短期,(たんき),short term,,[sound:短期.wav]
short term,,短期,(たんき),[sound:短期.wav]
炭鉱,(たんこう),"coal mine,coal pit",,[sound:炭鉱.wav]
"coal mine,coal pit",,炭鉱,(たんこう),[sound:炭鉱.wav]
短所,(たんしょ),"(1) defect,demerit,weak point,(2) disadvantage",,[sound:短所.wav]
"(1) defect,demerit,weak point,(2) disadvantage",,短所,(たんしょ),[sound:短所.wav]
たんす,,chest of drawers,,[sound:たんす.wav]
chest of drawers,,たんす,,[sound:たんす.wav]
淡水,(たんすい),fresh water,,[sound:淡水.wav]
fresh water,,淡水,(たんすい),[sound:淡水.wav]
断水,(だんすい),water outage,,[sound:断水.wav]
water outage,,断水,(だんすい),[sound:断水.wav]
単数,(たんすう),singular (number),,[sound:単数.wav]
singular (number),,単数,(たんすう),[sound:単数.wav]
団地,(だんち),multi-unit apartments,,[sound:団地.wav]
multi-unit apartments,,団地,(だんち),[sound:団地.wav]
断定,(だんてい),"conclusion,decision",,[sound:断定.wav]
"conclusion,decision",,断定,(だんてい),[sound:断定.wav]
短編,(たんぺん),"short (e.g. story, film)",,[sound:短編.wav]
"short (e.g. story, film)",,短編,(たんぺん),[sound:短編.wav]
誓う,(ちかう),"to swear,to vow,to take an oath,to pledge",,[sound:誓う.wav]
"to swear,to vow,to take an oath,to pledge",,誓う,(ちかう),[sound:誓う.wav]
地下水,(ちかすい),underground water,,[sound:地下水.wav]
underground water,,地下水,(ちかすい),[sound:地下水.wav]
近々,(ちかぢか),"nearness,before long",,[sound:近々.wav]
"nearness,before long",,近々,(ちかぢか),[sound:近々.wav]
近付ける,(ちかづける),"to bring near,to put close,to let come near,to associate with",,[sound:近付ける.wav]
"to bring near,to put close,to let come near,to associate with",,近付ける,(ちかづける),[sound:近付ける.wav]
近寄る,(ちかよる),"to approach,to draw near",,[sound:近寄る.wav]
"to approach,to draw near",,近寄る,(ちかよる),[sound:近寄る.wav]
力強い,(ちからづよい),"reassuring,emboldened",,[sound:力強い.wav]
"reassuring,emboldened",,力強い,(ちからづよい),[sound:力強い.wav]
千切る,(ちぎる),"to cut up fine,to pick (fruit)",,[sound:千切る.wav]
"to cut up fine,to pick (fruit)",,千切る,(ちぎる),[sound:千切る.wav]
地質,(ちしつ),geological features,,[sound:地質.wav]
geological features,,地質,(ちしつ),[sound:地質.wav]
知人,(ちじん),"friend,acquaintance",,[sound:知人.wav]
"friend,acquaintance",,知人,(ちじん),[sound:知人.wav]
地帯,(ちたい),"area,zone",,[sound:地帯.wav]
"area,zone",,地帯,(ちたい),[sound:地帯.wav]
縮む,(ちぢむ),"to shrink,to be contracted",,[sound:縮む.wav]
"to shrink,to be contracted",,縮む,(ちぢむ),[sound:縮む.wav]
縮める,(ちぢめる),"to shorten,to reduce,to boil down,to shrink",,[sound:縮める.wav]
"to shorten,to reduce,to boil down,to shrink",,縮める,(ちぢめる),[sound:縮める.wav]
縮れる,(ちぢれる),"to be wavy,to be curled",,[sound:縮れる.wav]
"to be wavy,to be curled",,縮れる,(ちぢれる),[sound:縮れる.wav]
チップ,,"(1) gratuity,tip,(2) chip",,[sound:チップ.wav]
"(1) gratuity,tip,(2) chip",,チップ,,[sound:チップ.wav]
地点,(ちてん),"site,point on a map",,[sound:地点.wav]
"site,point on a map",,地点,(ちてん),[sound:地点.wav]
地名,(ちめい),place name,,[sound:地名.wav]
place name,,地名,(ちめい),[sound:地名.wav]
茶色い,(ちゃいろい),,,[sound:茶色い.wav]
,,茶色い,(ちゃいろい),[sound:茶色い.wav]
着々,(ちゃくちゃく),steadily,,[sound:着々.wav]
steadily,,着々,(ちゃくちゃく),[sound:着々.wav]
茶碗,(ちゃわん),"rice bowl,tea cup,teacup",,[sound:茶碗.wav]
"rice bowl,tea cup,teacup",,茶碗,(ちゃわん),[sound:茶碗.wav]
中間,(ちゅうかん),"middle,midway,interim",,[sound:中間.wav]
"middle,midway,interim",,中間,(ちゅうかん),[sound:中間.wav]
中旬,(ちゅうじゅん),second third of a month,,[sound:中旬.wav]
second third of a month,,中旬,(ちゅうじゅん),[sound:中旬.wav]
抽象,(ちゅうしょう),abstract,,[sound:抽象.wav]
abstract,,抽象,(ちゅうしょう),[sound:抽象.wav]
中世,(ちゅうせい),"Middle Ages,mediaeval times",,[sound:中世.wav]
"Middle Ages,mediaeval times",,中世,(ちゅうせい),[sound:中世.wav]
中性,(ちゅうせい),"neuter gender,neutral (chem.),indifference,sterility",,[sound:中性.wav]
"neuter gender,neutral (chem.),indifference,sterility",,中性,(ちゅうせい),[sound:中性.wav]
中途,(ちゅうと),"in the middle,half-way",,[sound:中途.wav]
"in the middle,half-way",,中途,(ちゅうと),[sound:中途.wav]
中年,(ちゅうねん),middle-aged,,[sound:中年.wav]
middle-aged,,中年,(ちゅうねん),[sound:中年.wav]
超過,(ちょうか),"excess,being more than",,[sound:超過.wav]
"excess,being more than",,超過,(ちょうか),[sound:超過.wav]
彫刻,(ちょうこく),"carving,engraving,sculpture",,[sound:彫刻.wav]
"carving,engraving,sculpture",,彫刻,(ちょうこく),[sound:彫刻.wav]
長所,(ちょうしょ),"(1) strong point,merit,(2) advantage",,[sound:長所.wav]
"(1) strong point,merit,(2) advantage",,長所,(ちょうしょ),[sound:長所.wav]
長女,(ちょうじょ),eldest daughter,,[sound:長女.wav]
eldest daughter,,長女,(ちょうじょ),[sound:長女.wav]
調整,(ちょうせい),"regulation,adjustment,tuning",,[sound:調整.wav]
"regulation,adjustment,tuning",,調整,(ちょうせい),[sound:調整.wav]
調節,(ちょうせつ),"regulation,adjustment,control",,[sound:調節.wav]
"regulation,adjustment,control",,調節,(ちょうせつ),[sound:調節.wav]
長短,(ちょうたん),"length,long and short,+-",,[sound:長短.wav]
"length,long and short,+-",,長短,(ちょうたん),[sound:長短.wav]
頂点,(ちょうてん),"top,summit",,[sound:頂点.wav]
"top,summit",,頂点,(ちょうてん),[sound:頂点.wav]
長男,(ちょうなん),eldest son,,[sound:長男.wav]
eldest son,,長男,(ちょうなん),[sound:長男.wav]
長方形,(ちょうほうけい),"rectangle,oblong",,[sound:長方形.wav]
"rectangle,oblong",,長方形,(ちょうほうけい),[sound:長方形.wav]
調味料,(ちょうみりょう),"condiment,seasoning",,[sound:調味料.wav]
"condiment,seasoning",,調味料,(ちょうみりょう),[sound:調味料.wav]
チョーク,,"chock,chalk",,[sound:チョーク.wav]
"chock,chalk",,チョーク,,[sound:チョーク.wav]
直後,(ちょくご),immediately following,,[sound:直後.wav]
immediately following,,直後,(ちょくご),[sound:直後.wav]
直線,(ちょくせん),straight line,,[sound:直線.wav]
straight line,,直線,(ちょくせん),[sound:直線.wav]
直前,(ちょくぜん),just before,,[sound:直前.wav]
just before,,直前,(ちょくぜん),[sound:直前.wav]
直通,(ちょくつう),direct communication,,[sound:直通.wav]
direct communication,,直通,(ちょくつう),[sound:直通.wav]
直流,(ちょくりゅう),direct current,,[sound:直流.wav]
direct current,,直流,(ちょくりゅう),[sound:直流.wav]
貯蔵,(ちょぞう),"storage,preservation",,[sound:貯蔵.wav]
"storage,preservation",,貯蔵,(ちょぞう),[sound:貯蔵.wav]
直角,(ちょっかく),right angle,,[sound:直角.wav]
right angle,,直角,(ちょっかく),[sound:直角.wav]
直径,(ちょっけい),diameter,,[sound:直径.wav]
diameter,,直径,(ちょっけい),[sound:直径.wav]
散らかす,(ちらかす),"to scatter around,to leave untidy",,[sound:散らかす.wav]
"to scatter around,to leave untidy",,散らかす,(ちらかす),[sound:散らかす.wav]
散らかる,(ちらかる),"to be in disorder,to lie scattered around",,[sound:散らかる.wav]
"to be in disorder,to lie scattered around",,散らかる,(ちらかる),[sound:散らかる.wav]
散らす,(ちらす),"to scatter,to disperse,to distribute",,[sound:散らす.wav]
"to scatter,to disperse,to distribute",,散らす,(ちらす),[sound:散らす.wav]
塵紙,(ちりがみ),"tissue paper,toilet paper",,[sound:塵紙.wav]
"tissue paper,toilet paper",,塵紙,(ちりがみ),[sound:塵紙.wav]
散る,(ちる),"to fall,to scatter (e.g. blossoms)",,[sound:散る.wav]
"to fall,to scatter (e.g. blossoms)",,散る,(ちる),[sound:散る.wav]
追加,(ついか),"addition,supplement,appendix",,[sound:追加.wav]
"addition,supplement,appendix",,追加,(ついか),[sound:追加.wav]
序で,(ついで),"opportunity,occasion",,[sound:序で.wav]
"opportunity,occasion",,序で,(ついで),[sound:序で.wav]
通貨,(つうか),currency,,[sound:通貨.wav]
currency,,通貨,(つうか),[sound:通貨.wav]
通勤,(つうきん),commuting to work,,[sound:通勤.wav]
commuting to work,,通勤,(つうきん),[sound:通勤.wav]
通ずる,(つうずる),,,[sound:通ずる.wav]
,,通ずる,(つうずる),[sound:通ずる.wav]
通知,(つうち),"notice,notification",,[sound:通知.wav]
"notice,notification",,通知,(つうち),[sound:通知.wav]
通帳,(つうちょう),passbook,,[sound:通帳.wav]
passbook,,通帳,(つうちょう),[sound:通帳.wav]
通訳,(つうやく),interpretation,,[sound:通訳.wav]
interpretation,,通訳,(つうやく),[sound:通訳.wav]
通用,(つうよう),"popular use,circulation",,[sound:通用.wav]
"popular use,circulation",,通用,(つうよう),[sound:通用.wav]
通路,(つうろ),"passage,pathway",,[sound:通路.wav]
"passage,pathway",,通路,(つうろ),[sound:通路.wav]
付合う,(つきあう),"to associate with,to keep company with,to get on with",,[sound:付合う.wav]
"to associate with,to keep company with,to get on with",,付合う,(つきあう),[sound:付合う.wav]
突き当たり,(つきあたり),end (e.g. of street),,[sound:突き当たり.wav]
end (e.g. of street),,突き当たり,(つきあたり),[sound:突き当たり.wav]
突き当たる,(つきあたる),"to run into,to collide with",,[sound:突き当たる.wav]
"to run into,to collide with",,突き当たる,(つきあたる),[sound:突き当たる.wav]
月日,(つきひ),"time,years,days",,[sound:月日.wav]
"time,years,days",,月日,(つきひ),[sound:月日.wav]
点く,(つく),"to catch fire,(electricity) comes on",,[sound:点く.wav]
"to catch fire,(electricity) comes on",,点く,(つく),[sound:点く.wav]
突く,(つく),"(1) to thrust,to strike,(2) to poke",,[sound:突く.wav]
"(1) to thrust,to strike,(2) to poke",,突く,(つく),[sound:突く.wav]
次ぐ,(つぐ),"to rank next to,to come after",,[sound:次ぐ.wav]
"to rank next to,to come after",,次ぐ,(つぐ),[sound:次ぐ.wav]
造る,(つくる),"to make,to create",,[sound:造る.wav]
"to make,to create",,造る,(つくる),[sound:造る.wav]
着ける,(つける),"(1) to attach,to join,to add,to append",,[sound:着ける.wav]
"(1) to attach,to join,to add,to append",,着ける,(つける),[sound:着ける.wav]
点ける,(つける),"to turn on,to switch on,to light up",,[sound:点ける.wav]
"to turn on,to switch on,to light up",,点ける,(つける),[sound:点ける.wav]
浸ける,(つける),"to dip in,to soak",,[sound:浸ける.wav]
"to dip in,to soak",,浸ける,(つける),[sound:浸ける.wav]
伝わる,(つたわる),"to be handed down,to be introduced,to be transmitted",,[sound:伝わる.wav]
"to be handed down,to be introduced,to be transmitted",,伝わる,(つたわる),[sound:伝わる.wav]
突っ込む,(つっこむ),"to plunge into,to go into deeply",,[sound:突っ込む.wav]
"to plunge into,to go into deeply",,突っ込む,(つっこむ),[sound:突っ込む.wav]
務める,(つとめる),"(1) to serve,to fill a post,to serve under,to work (for)",,[sound:務める.wav]
"(1) to serve,to fill a post,to serve under,to work (for)",,務める,(つとめる),[sound:務める.wav]
努める,(つとめる),"(1) to serve,to fill a post,to serve under,to work (for)",,[sound:努める.wav]
"(1) to serve,to fill a post,to serve under,to work (for)",,努める,(つとめる),[sound:努める.wav]
綱,(つな),rope,,[sound:綱.wav]
rope,,綱,(つな),[sound:綱.wav]
繋がり,(つながり),"connection,link,relationship",,[sound:繋がり.wav]
"connection,link,relationship",,繋がり,(つながり),[sound:繋がり.wav]
繋がる,(つながる),"to be tied together,to be connected to,to be related to",,[sound:繋がる.wav]
"to be tied together,to be connected to,to be related to",,繋がる,(つながる),[sound:繋がる.wav]
繋げる,(つなげる),to connect,,[sound:繋げる.wav]
to connect,,繋げる,(つなげる),[sound:繋げる.wav]
粒,(つぶ),grain,,[sound:粒.wav]
grain,,粒,(つぶ),[sound:粒.wav]
潰す,(つぶす),"to smash,to waste",,[sound:潰す.wav]
"to smash,to waste",,潰す,(つぶす),[sound:潰す.wav]
潰れる,(つぶれる),"to be smashed,to go bankrupt",,[sound:潰れる.wav]
"to be smashed,to go bankrupt",,潰れる,(つぶれる),[sound:潰れる.wav]
つまずく,,"to stumble,to trip",,[sound:つまずく.wav]
"to stumble,to trip",,つまずく,,[sound:つまずく.wav]
詰まる,(つまる),"to be blocked,to be packed",,[sound:詰まる.wav]
"to be blocked,to be packed",,詰まる,(つまる),[sound:詰まる.wav]
積む,(つむ),"to pile up,to stack",,[sound:積む.wav]
"to pile up,to stack",,積む,(つむ),[sound:積む.wav]
爪,(つめ),"fingernail or toenail,claw,talon,hoof",,[sound:爪.wav]
"fingernail or toenail,claw,talon,hoof",,爪,(つめ),[sound:爪.wav]
艶,(つや),"gloss,glaze",,[sound:艶.wav]
"gloss,glaze",,艶,(つや),[sound:艶.wav]
強気,(つよき),"firm,strong",,[sound:強気.wav]
"firm,strong",,強気,(つよき),[sound:強気.wav]
釣り合う,(つりあう),"to balance,to be in harmony,to suit",,[sound:釣り合う.wav]
"to balance,to be in harmony,to suit",,釣り合う,(つりあう),[sound:釣り合う.wav]
吊る,(つる),to hang,,[sound:吊る.wav]
to hang,,吊る,(つる),[sound:吊る.wav]
吊す,(つるす),to hang,,[sound:吊す.wav]
to hang,,吊す,(つるす),[sound:吊す.wav]
出合い,(であい),an encounter,,[sound:出合い.wav]
an encounter,,出合い,(であい),[sound:出合い.wav]
手洗い,(てあらい),"restroom,lavatory,hand-washing",,[sound:手洗い.wav]
"restroom,lavatory,hand-washing",,手洗い,(てあらい),[sound:手洗い.wav]
定員,(ていいん),"fixed number of regular personnel,capacity (of boat, etc.)",,[sound:定員.wav]
"fixed number of regular personnel,capacity (of boat, etc.)",,定員,(ていいん),[sound:定員.wav]
定価,(ていか),established price,,[sound:定価.wav]
established price,,定価,(ていか),[sound:定価.wav]
低下,(ていか),"fall,decline,lowering,deterioration",,[sound:低下.wav]
"fall,decline,lowering,deterioration",,低下,(ていか),[sound:低下.wav]
