ftitle,fsubtitle,btitle,bsubtitle,audio
荒っぽい,(あらっぽい),"rough, rude",,[sound:荒っぽい.wav]
"rough, rude",,荒っぽい,(あらっぽい),[sound:荒っぽい.wav]
凡ゆる,(あらゆる),"all, every",,[sound:凡ゆる.wav]
"all, every",,凡ゆる,(あらゆる),[sound:凡ゆる.wav]
霰,(あられ),"kind of cookie, cartoon character",,[sound:霰.wav]
"kind of cookie, cartoon character",,霰,(あられ),[sound:霰.wav]
現われ,(あらわれ),"embodiment, materialization",,[sound:現われ.wav]
"embodiment, materialization",,現われ,(あらわれ),[sound:現われ.wav]
現われる,(あらわれる),"to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself",,[sound:現われる.wav]
"to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself",,現われる,(あらわれる),[sound:現われる.wav]
有難う,(ありがとう),Thank you,,[sound:有難う.wav]
Thank you,,有難う,(ありがとう),[sound:有難う.wav]
有様,(ありさま),"state, condition, circumstances, the way things are or should be, truth",,[sound:有様.wav]
"state, condition, circumstances, the way things are or should be, truth",,有様,(ありさま),[sound:有様.wav]
有りのまま,(ありのまま),"the truth, fact, as it is, frankly",,[sound:有りのまま.wav]
"the truth, fact, as it is, frankly",,有りのまま,(ありのまま),[sound:有りのまま.wav]
或る,(ある),"a certain..., some...",,[sound:或る.wav]
"a certain..., some...",,或る,(ある),[sound:或る.wav]
或いは,(あるいは),"or, possibly",,[sound:或いは.wav]
"or, possibly",,或いは,(あるいは),[sound:或いは.wav]
彼此,(あれこれ),"one thing or another, this and that, this or that",,[sound:彼此.wav]
"one thing or another, this and that, this or that",,彼此,(あれこれ),[sound:彼此.wav]
合わす,(あわす),"to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to",,[sound:合わす.wav]
"to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to",,合わす,(あわす),[sound:合わす.wav]
合わせ,(あわせ),"joint together, opposite, facing",,[sound:合わせ.wav]
"joint together, opposite, facing",,合わせ,(あわせ),[sound:合わせ.wav]
慌ただしい,(あわただしい),"busy, hurried, confused, flurried",,[sound:慌ただしい.wav]
"busy, hurried, confused, flurried",,慌ただしい,(あわただしい),[sound:慌ただしい.wav]
慌てる,(あわてる),to become confused (disconcerted disorganized),,[sound:慌てる.wav]
to become confused (disconcerted disorganized),,慌てる,(あわてる),[sound:慌てる.wav]
暗殺,(あんさつ),assassination,,[sound:暗殺.wav]
assassination,,暗殺,(あんさつ),[sound:暗殺.wav]
暗算,(あんざん),mental arithmetic,,[sound:暗算.wav]
mental arithmetic,,暗算,(あんざん),[sound:暗算.wav]
暗示,(あんじ),"hint, suggestion",,[sound:暗示.wav]
"hint, suggestion",,暗示,(あんじ),[sound:暗示.wav]
案じる,(あんじる),"to be anxious, to ponder",,[sound:案じる.wav]
"to be anxious, to ponder",,案じる,(あんじる),[sound:案じる.wav]
安静,(あんせい),rest,,[sound:安静.wav]
rest,,安静,(あんせい),[sound:安静.wav]
案の定,(あんのじょう),"sure enough, as usual",,[sound:案の定.wav]
"sure enough, as usual",,案の定,(あんのじょう),[sound:案の定.wav]
余り,(あんまり),"not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, rema",,[sound:余り.wav]
"not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, rema",,余り,(あんまり),[sound:余り.wav]
依,(い),depending on,,[sound:依.wav]
depending on,,依,(い),[sound:依.wav]
伊,(い),"that one, Italy",,[sound:伊.wav]
"that one, Italy",,伊,(い),[sound:伊.wav]
いいえ,,"no, nay, yes, well",,[sound:いいえ.wav]
"no, nay, yes, well",,いいえ,,[sound:いいえ.wav]
いい加減,(いいかげん),"moderate, right, random, not thorough, vague, irresponsible, halfhearted",,[sound:いい加減.wav]
"moderate, right, random, not thorough, vague, irresponsible, halfhearted",,いい加減,(いいかげん),[sound:いい加減.wav]
言い訳,(いいわけ),"excuse, explanation",,[sound:言い訳.wav]
"excuse, explanation",,言い訳,(いいわけ),[sound:言い訳.wav]
家出,(いえで),"running away from home, leaving home",,[sound:家出.wav]
"running away from home, leaving home",,家出,(いえで),[sound:家出.wav]
家主,(いえぬし),landlord,,[sound:家主.wav]
landlord,,家主,(いえぬし),[sound:家主.wav]
如何,(いかが),"how, in what way",,[sound:如何.wav]
"how, in what way",,如何,(いかが),[sound:如何.wav]
生かす,(いかす),"to revive, to resuscitate, to make use of",,[sound:生かす.wav]
"to revive, to resuscitate, to make use of",,生かす,(いかす),[sound:生かす.wav]
雷,(いかずち),thunder,,[sound:雷.wav]
thunder,,雷,(いかずち),[sound:雷.wav]
如何に,(いかに),"how?, in what way?, how much?, however, whatever",,[sound:如何に.wav]
"how?, in what way?, how much?, however, whatever",,如何に,(いかに),[sound:如何に.wav]
如何にも,(いかにも),"indeed, really, phrase meaning agreement",,[sound:如何にも.wav]
"indeed, really, phrase meaning agreement",,如何にも,(いかにも),[sound:如何にも.wav]
怒り,(いかり),"anger, hatred",,[sound:怒り.wav]
"anger, hatred",,怒り,(いかり),[sound:怒り.wav]
怒る,(いかる),"to get angry, to be angry",,[sound:怒る.wav]
"to get angry, to be angry",,怒る,(いかる),[sound:怒る.wav]
歪む,(いがむ),"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv",,[sound:歪む.wav]
"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv",,歪む,(いがむ),[sound:歪む.wav]
粋,(いき),"chic, style, purity, essence",,[sound:粋.wav]
"chic, style, purity, essence",,粋,(いき),[sound:粋.wav]
域外,(いきがい),outside the area,,[sound:域外.wav]
outside the area,,域外,(いきがい),[sound:域外.wav]
意気込む,(いきごむ),to be enthusiastic about,,[sound:意気込む.wav]
to be enthusiastic about,,意気込む,(いきごむ),[sound:意気込む.wav]
経緯,(いきさつ),"1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c",,[sound:経緯.wav]
"1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c",,経緯,(いきさつ),[sound:経緯.wav]
行き違い,(いきちがい),"misunderstanding, estrangement, disagreement, crossing without meeting, going astray",,[sound:行き違い.wav]
"misunderstanding, estrangement, disagreement, crossing without meeting, going astray",,行き違い,(いきちがい),[sound:行き違い.wav]
行き成り,(いきなり),suddenly,,[sound:行き成り.wav]
suddenly,,行き成り,(いきなり),[sound:行き成り.wav]
異議,(いぎ),"objection, dissent, protest",,[sound:異議.wav]
"objection, dissent, protest",,異議,(いぎ),[sound:異議.wav]
軍,(いくさ),"war, battle, campaign, fight",,[sound:軍.wav]
"war, battle, campaign, fight",,軍,(いくさ),[sound:軍.wav]
戦,(いくさ),"war, battle, campaign, fight",,[sound:戦.wav]
"war, battle, campaign, fight",,戦,(いくさ),[sound:戦.wav]
育成,(いくせい),"rearing, training, nurture, cultivation, promotion",,[sound:育成.wav]
"rearing, training, nurture, cultivation, promotion",,育成,(いくせい),[sound:育成.wav]
幾多,(いくた),"many, numerous",,[sound:幾多.wav]
"many, numerous",,幾多,(いくた),[sound:幾多.wav]
